problem_id,skill_id,node_code,node_name
299836,1,3.OA.A.1,Interpret Products of Whole Numbers
427946,1,3.OA.A.1,Interpret Products of Whole Numbers
299836,4,3.OA.A.4,Determine the Unknown Whole Number in a Multiplication/Division Equation
427946,4,3.OA.A.4,Determine the Unknown Whole Number in a Multiplication/Division Equation
299546,5,3.OA.B.5,Apply Properties of Operations To Multiply & Divide
427706,5,3.OA.B.5,Apply Properties of Operations To Multiply & Divide
151911,15,3.NF.A.2a,Represent Unit Fractions on a Number Line
323486,16,3.NF.A.2b,Represent Fractions on a Number Line
323395,16,3.NF.A.2b,Represent Fractions on a Number Line
323318,16,3.NF.A.2b,Represent Fractions on a Number Line
259422,16,3.NF.A.2b,Represent Fractions on a Number Line
151911,16,3.NF.A.2b,Represent Fractions on a Number Line
151911,19,3.NF.A.3b,Recognize & Generate Simple Equivalent Fractions
323959,21,3.NF.A.3d,Comprare Fractions with Like Numerators or Denominators
3501,24,3.MD.B.3,Draw & Apply Knowledge of Bar & Pictures Graphs
255003,24,3.MD.B.3,Draw & Apply Knowledge of Bar & Pictures Graphs
103462,29,3.MD.C.6,Measure Area by Counting Unit Squares
543579,29,3.MD.C.6,Measure Area by Counting Unit Squares
543579,31,3.MD.C.7a,Find the Area of a Rectangle by Tiling
103462,31,3.MD.C.7a,Find the Area of a Rectangle by Tiling
1366,31,3.MD.C.7a,Find the Area of a Rectangle by Tiling
54202,31,3.MD.C.7a,Find the Area of a Rectangle by Tiling
595379,31,3.MD.C.7a,Find the Area of a Rectangle by Tiling
543878,34,3.MD.C.7d,Find Area of Rectangles by Decomposing
103748,34,3.MD.C.7d,Find Area of Rectangles by Decomposing
1366,35,3.MD.D.8,Solve Word Problems Involving Perimeter of Polygons
595520,35,3.MD.D.8,Solve Word Problems Involving Perimeter of Polygons
151389,38,4.OA.A.1,Interpret & Represent Multiplicative Comparisons as Multiplication Equations
151533,38,4.OA.A.1,Interpret & Represent Multiplicative Comparisons as Multiplication Equations
258849,38,4.OA.A.1,Interpret & Represent Multiplicative Comparisons as Multiplication Equations
151647,38,4.OA.A.1,Interpret & Represent Multiplicative Comparisons as Multiplication Equations
258984,38,4.OA.A.1,Interpret & Represent Multiplicative Comparisons as Multiplication Equations
259128,38,4.OA.A.1,Interpret & Represent Multiplicative Comparisons as Multiplication Equations
322962,41,4.OA.B.4,Find & Use Factors of to Determine if a Number is Prime or Composite
608636,41,4.OA.B.4,Find & Use Factors of to Determine if a Number is Prime or Composite
258849,44,4.NBT.A.1,Recognize & Apply Concepts of Place Value Relationships
259128,44,4.NBT.A.1,Recognize & Apply Concepts of Place Value Relationships
258984,44,4.NBT.A.1,Recognize & Apply Concepts of Place Value Relationships
151389,44,4.NBT.A.1,Recognize & Apply Concepts of Place Value Relationships
151647,44,4.NBT.A.1,Recognize & Apply Concepts of Place Value Relationships
151533,44,4.NBT.A.1,Recognize & Apply Concepts of Place Value Relationships
655353,50,4.NBT.B.6,Divide Whole Numbers using Place Value Models & Strategies
456745,50,4.NBT.B.6,Divide Whole Numbers using Place Value Models & Strategies
258570,51,4.NF.A.1,"Explain, Recognize & Generate Equivalent Fractions"
151128,51,4.NF.A.1,"Explain, Recognize & Generate Equivalent Fractions"
324036,52,4.NF.A.2,Compare Fractions with Different Numerators & Denominators
323873,52,4.NF.A.2,Compare Fractions with Different Numerators & Denominators
324144,52,4.NF.A.2,Compare Fractions with Different Numerators & Denominators
323959,52,4.NF.A.2,Compare Fractions with Different Numerators & Denominators
133202,52,4.NF.A.2,Compare Fractions with Different Numerators & Denominators
133338,52,4.NF.A.2,Compare Fractions with Different Numerators & Denominators
151389,61,4.NF.B.4b,Multiply a Fraction by a Whole Number
151533,61,4.NF.B.4b,Multiply a Fraction by a Whole Number
259128,61,4.NF.B.4b,Multiply a Fraction by a Whole Number
258849,61,4.NF.B.4b,Multiply a Fraction by a Whole Number
258984,61,4.NF.B.4b,Multiply a Fraction by a Whole Number
151647,61,4.NF.B.4b,Multiply a Fraction by a Whole Number
325103,64,4.NF.C.6,Convert Fractions to Decimals (Denominators of 10 or 100)
355920,64,4.NF.C.6,Convert Fractions to Decimals (Denominators of 10 or 100)
455868,64,4.NF.C.6,Convert Fractions to Decimals (Denominators of 10 or 100)
455995,64,4.NF.C.6,Convert Fractions to Decimals (Denominators of 10 or 100)
356245,64,4.NF.C.6,Convert Fractions to Decimals (Denominators of 10 or 100)
488652,64,4.NF.C.6,Convert Fractions to Decimals (Denominators of 10 or 100)
668634,66,4.MD.A.1,Convert Measurements Within a System & Display in Two-Column Tables
174042,66,4.MD.A.1,Convert Measurements Within a System & Display in Two-Column Tables
172779,66,4.MD.A.1,Convert Measurements Within a System & Display in Two-Column Tables
173266,66,4.MD.A.1,Convert Measurements Within a System & Display in Two-Column Tables
605230,66,4.MD.A.1,Convert Measurements Within a System & Display in Two-Column Tables
173140,66,4.MD.A.1,Convert Measurements Within a System & Display in Two-Column Tables
173797,66,4.MD.A.1,Convert Measurements Within a System & Display in Two-Column Tables
173917,66,4.MD.A.1,Convert Measurements Within a System & Display in Two-Column Tables
25823,68,4.MD.A.3,Apply Area & Perimeter Formulas for Rectangles
47078,68,4.MD.A.3,Apply Area & Perimeter Formulas for Rectangles
25576,68,4.MD.A.3,Apply Area & Perimeter Formulas for Rectangles
25682,68,4.MD.A.3,Apply Area & Perimeter Formulas for Rectangles
543579,68,4.MD.A.3,Apply Area & Perimeter Formulas for Rectangles
25949,68,4.MD.A.3,Apply Area & Perimeter Formulas for Rectangles
46209,68,4.MD.A.3,Apply Area & Perimeter Formulas for Rectangles
605230,68,4.MD.A.3,Apply Area & Perimeter Formulas for Rectangles
88850,68,4.MD.A.3,Apply Area & Perimeter Formulas for Rectangles
103462,68,4.MD.A.3,Apply Area & Perimeter Formulas for Rectangles
347425,68,4.MD.A.3,Apply Area & Perimeter Formulas for Rectangles
668634,69,4.MD.A.3,Apply Area & Perimeter Formulas for Rectangles
605230,69,4.MD.A.3,Apply Area & Perimeter Formulas for Rectangles
651370,76,4.G.A.1,Draw & Identify Types of Lines and Angles
104004,76,4.G.A.1,Draw & Identify Types of Lines and Angles
651306,76,4.G.A.1,Draw & Identify Types of Lines and Angles
627401,76,4.G.A.1,Draw & Identify Types of Lines and Angles
12623,76,4.G.A.1,Draw & Identify Types of Lines and Angles
627506,76,4.G.A.1,Draw & Identify Types of Lines and Angles
115085,76,4.G.A.1,Draw & Identify Types of Lines and Angles
104131,77,4.G.A.1,Draw & Identify Types of Lines and Angles
23769,78,4.G.A.2,Classify 2D Figures by Parallel & Perpendicular Lines and Angles
104004,78,4.G.A.2,Classify 2D Figures by Parallel & Perpendicular Lines and Angles
