Exercise_A,Exercise_B,Similarity_avg,Similarity_raw,Difficulty_avg,Difficulty_raw,Prerequisite_avg,Prerequisite_raw
radius_diameter_and_circumference,arithmetic_word_problems_1,1.857142857,1_4_1_1_1_1_2_1_1_1_3_1_3_5,2.857142857,4_5_1_1_1_1_7_1_1_4_2_5_2_5,3,1_6_1_1_1_3_2_1_9_2_3_2_8_2
radius_diameter_and_circumference,parts_of_circles,6.785714286,6_9_6_6_7_8_7_8_8_8_4_6_5_7,2.428571429,3_5_1_3_2_1_5_1_1_1_1_2_5_3,7.285714286,6_7_7_6_8_8_9_5_9_9_7_7_5_9
radius_diameter_and_circumference,perimeter_of_squares_and_rectangles,3.571428571,2_6_4_1_1_2_4_4_7_2_3_4_4_6,2.285714286,2_5_1_1_1_1_3_2_1_1_5_2_3_4,5,2_6_5_4_2_8_3_5_9_5_5_3_7_6
vertex_of_a_parabola,solving_quadratics_by_taking_the_square_root,5.923076923,6_7_6_7_8_4_5_4_3_6_6_8_7,3.307692308,3_3_3_1_2_2_4_4_4_3_5_5_4,5.846153846,5_8_7_7_6_2_6_5_6_7_3_7_7
vertex_of_a_parabola,completing_the_square_1,5.692307692,7_5_7_8_3_4_5_5_3_6_7_7_7,3.307692308,2_3_3_4_2_2_4_4_5_3_4_4_3,5.461538462,6_4_6_8_2_2_5_6_5_6_7_7_7
vertex_of_a_parabola,graphing_parabolas_1,6.692307692,6_9_7_9_7_8_6_5_4_5_6_7_8,4.846153846,6_8_4_1_3_6_4_4_4_5_7_6_5,6.230769231,3_6_7_7_8_8_6_6_7_6_3_6_8
vertex_of_a_parabola,addition_2,1.692307692,1_1_1_1_1_1_3_2_3_2_2_2_2,1.076923077,1_1_1_1_1_1_2_1_1_1_1_1_1,2.692307692,2_1_1_5_1_1_4_2_3_9_2_3_1
vertex_of_a_parabola,parabola_intuition_3,5.461538462,6_8_8_3_3_7_6_3_3_6_3_7_8,6.307692308,7_7_8_7_7_9_4_8_5_5_8_4_3,4.538461538,4_7_4_3_2_3_6_3_6_5_2_6_8
triangle_types,triangle_angles_sum,6.727272727,7_6_6_5_6_8_7_8_5_9_7,4.545454545,5_7_3_5_5_5_1_6_6_1_6,6,7_7_3_4_8_8_4_5_6_9_5
triangle_types,angle_addition_postulate,5.363636364,7_7_6_3_1_8_1_4_6_9_7,7,7_7_9_8_7_5_9_8_8_1_8,3.454545455,2_6_2_1_2_7_1_3_6_7_1
triangle_types,vertical_angles,4.272727273,5_7_2_1_2_7_2_6_2_7_6,3.272727273,5_3_7_1_2_5_1_5_2_1_4,4.454545455,5_7_6_1_2_6_1_4_3_7_7
triangle_types,representing_numbers,2.272727273,2_7_3_1_1_4_1_1_3_1_1,2.454545455,3_7_1_6_1_1_1_3_2_1_1,2.181818182,2_6_2_1_1_1_1_1_6_2_1
solving_quadratics_by_taking_the_square_root,solving_quadratics_by_factoring,7.222222222,8_8_9_8_7_1_8_8_8,5.222222222,3_7_5_5_4_9_5_5_4,6.444444444,6_1_9_9_7_1_8_9_8
